Date,Close,High,Low,Open,Volume,EPS,Revenue,ROE,P/E
2010-01-04 00:00:00-05:00,6.447411060333252,6.462173069917781,6.398304652210158,6.4299375873533755,493729600,6.07,391034994688,1.5741299,40.006588
2010-01-05 00:00:00-05:00,6.458559513092041,6.495012835085951,6.424515979042845,6.465187536085361,601904800,6.07,391034994688,1.5741299,40.006588
2010-01-06 00:00:00-05:00,6.355825901031494,6.484165678738559,6.349197879778726,6.458557817041979,552160000,6.07,391034994688,1.5741299,40.006588
2010-01-07 00:00:00-05:00,6.344076633453369,6.3868571011218185,6.297982959205333,6.3793252578290245,477131200,6.07,391034994688,1.5741299,40.006588
2010-01-08 00:00:00-05:00,6.386253833770752,6.386856783438807,6.2982847241288615,6.335641056064525,447610800,6.07,391034994688,1.5741299,40.006588
2010-01-11 00:00:00-05:00,6.329917907714844,6.41698360184954,6.279907273249689,6.410958127279132,462229600,6.07,391034994688,1.5741299,40.006588
2010-01-12 00:00:00-05:00,6.2579145431518555,6.319674855517163,6.218750163570416,6.302200576324454,594459600,6.07,391034994688,1.5741299,40.006588
2010-01-13 00:00:00-05:00,6.346184730529785,6.3546203939289985,6.148855690776161,6.262433459565297,605892000,6.07,391034994688,1.5741299,40.006588
2010-01-14 00:00:00-05:00,6.309432029724121,6.340462825144653,6.297080207649436,6.329918645651823,432894000,6.07,391034994688,1.5741299,40.006588
2010-01-15 00:00:00-05:00,6.203987121582031,6.374805684037229,6.202179479438473,6.35462034676749,594067600,6.07,391034994688,1.5741299,40.006588
2010-01-19 00:00:00-05:00,6.478443622589111,6.482962729764895,6.243456082969272,6.27629372174245,730007600,6.07,391034994688,1.5741299,40.006588
2010-01-20 00:00:00-05:00,6.378723621368408,6.4938069781844,6.311540780542033,6.474525860051603,612152800,6.07,391034994688,1.5741299,40.006588
2010-01-21 00:00:00-05:00,6.268459320068359,6.426323557360995,6.24255058036858,6.389268090427775,608154400,6.07,391034994688,1.5741299,40.006588
2010-01-22 00:00:00-05:00,5.957551956176758,6.251287019875702,5.939777609672108,6.229596114681881,881767600,6.07,391034994688,1.5741299,40.006588
2010-01-25 00:00:00-05:00,6.117827892303467,6.166933919293409,6.031063037541384,6.1009569594951385,1065699600,6.07,391034994688,1.5741299,40.006588
2010-01-26 00:00:00-05:00,6.204289436340332,6.438373904160737,6.103063872722992,6.2045907100814786,1867110000,6.07,391034994688,1.5741299,40.006588
2010-01-27 00:00:00-05:00,6.262734889984131,6.344076380900434,6.011176563069235,6.231704099087753,1722568400,6.07,391034994688,1.5741299,40.006588
2010-01-28 00:00:00-05:00,6.003946304321289,6.191033259062565,5.986171959598622,6.173861461770131,1173502400,6.07,391034994688,1.5741299,40.006588
2010-01-29 00:00:00-05:00,5.786130428314209,6.091615126418192,5.73160109455185,6.057873276013304,1245952400,6.07,391034994688,1.5741299,40.006588
2010-02-01 00:00:00-05:00,5.8665690422058105,5.904830001735351,5.763234565443597,5.795470050327659,749876400,6.07,391034994688,1.5741299,40.006588
2010-02-02 00:00:00-05:00,5.900611400604248,5.914469990483004,5.825897535909024,5.902118171303901,698342400,6.07,391034994688,1.5741299,40.006588
2010-02-03 00:00:00-05:00,6.002139091491699,6.031362241714344,5.857229642029051,5.879824770044892,615328000,6.07,391034994688,1.5741299,40.006588
2010-02-04 00:00:00-05:00,5.785829544067383,5.9762296979069385,5.7713684062961494,5.926821614991061,757652000,6.07,391034994688,1.5741299,40.006588
2010-02-05 00:00:00-05:00,5.888562202453613,5.904830986710173,5.749678206585321,5.803304135406081,850306800,6.07,391034994688,1.5741299,40.006588
2010-02-08 00:00:00-05:00,5.848191738128662,5.9614682478885035,5.844576453346718,5.895490909556517,478270800,6.07,391034994688,1.5741299,40.006588
2010-02-09 00:00:00-05:00,5.910553455352783,5.9500191025869915,5.8671708478596285,5.917482348084412,632886800,6.07,391034994688,1.5741299,40.006588
2010-02-10 00:00:00-05:00,5.878316879272461,5.922904978520103,5.852408149096466,5.901514146520485,370361600,6.07,391034994688,1.5741299,40.006588
2010-02-11 00:00:00-05:00,5.985269546508789,6.017806715347872,5.846385539710414,5.871089589587284,550345600,6.07,391034994688,1.5741299,40.006588
2010-02-12 00:00:00-05:00,6.036785125732422,6.074744811812045,5.88976676116617,5.968397194701423,655468800,6.07,391034994688,1.5741299,40.006588
2010-02-16 00:00:00-05:00,6.127768039703369,6.136504576136544,6.071129781940066,6.0837828770864,543737600,6.07,391034994688,1.5741299,40.006588
2010-02-17 00:00:00-05:00,6.102160930633545,6.1551835042806,6.051246066635334,6.1515682191043,436396800,6.07,391034994688,1.5741299,40.006588
